Frame,Number Plate
1,PRIesE
2,RISE
3,Gisa
4,F R183: |
5,F R183 |
6,= RIG]
7,RISE]
8,F RIBS}
9,R183
10,P R183: |
11,F R1G3-F |
12,F R:183:JF |
13,1 R183 JF |
14,R183: |
15,"""R183 |"
16,P R183
17,P R183 JF |
18,RIBS |
19,F R183: |
20,PRISE |
21,P RIBSF |
22,F R1BSIE |
23,| R1B3F |
24,"""RIBS |"
25,F RIBS |
26,F R183 |
27,F R183 |
28,F R1B3F |
29,P R183:-F |
30,[ R:183:JF |
31,F R183 |
32,RIBS |
33,F RIBSIF |
34,1 RBS:IF |
35,5 RIBS |
36,F R183 |
37,F R183 |
38,P R183-JF |
39,F R183-JF |
40,F R183:JF
41,F R:183 JF |
42,F R183 |
43,FR183JF |
44,[R183 |
45,F R163 |
46,F183 |
47,f R1833F |
48,F R183 |
49,F R183 |
50,P R1G3F|
51,PRB IF
52,PR]
53,PR) 0 |
54,[R181 |
55,a
56,PR} F |
57,B16
58,ica
59,os
60,os
61,os
62,a
63,oo
64,oo
65,oo
66,pee
67,oo
68,oo
69,pve)
70,oo
71,F vse
72,p vase
73,p89
74,to
75,f v894
76,ta
77,to
78,co
79,fase
80,P nss4i
81,ca
82,Fess
83,co
84,Wesel
85,(sce
86,P8040
87,F894
88,PN-894-V
89,N94)
90,P8942
91,co
92,p94
93,89409
94,8949
95,8940
96,P8940
97,N84
98,(or
99,N84
100,Pn-894
101,[8940
102,co
103,P3949
104,N84]
105,8940
106,N894:V 9
107,896-1)
108,8941}
109,Pee
110,pov
111,co
112,ou
113,Po)
114,TLOS6KH
115,TLS56XH)
116,FL-e56XH)
117,PLSS6XH
118,Posen)
119,TL656XH|
120,rL-G56-XH)
121,PL-656XH|
122,"P656-XH,"
123,TL-656°XH|
124,TL656XH|
125,TL-656-XH|
126,TLO56KH
127,TT-656-XH)
128,TL656:XH)
129,FU-656XH)
130,TL-G56-KH)
131,A 656-KH)
132,L-656XH]
133,FL656xH]
134,EL-656xH)
135,FL-656-XH)
136,FL-S56XH
137,TL656XH
138,FL656XH]
139,F656XH]
140,FL-656XH]
141,(YL-656-XH]
142,PL656XH
143,A L-656XH]
144,656xH
145,-656-KH)
146,FTL-656-KH)
147,U656%H
148,L-656-XH]
149,RL656%H)
150,AL-656-%H]
151,-656-%H]
152,TL-656%H]
153,UL-656XH)
154,FL-656-%H)
155,[C656%H]
156,(UL-656xXH]
157,L-656-XH)
158,656%
159,TL-656XH]
160,(L-656°%H)
161,L-656xH1
162,(656%)
163,(-656-%H)
164,STS)
165,[c656xH)
166,(L-656%XH]
167,(656%)
168,(ees6xH
169,[L-656xH
170,(lesen)
171,(lesen)
172,[eesem
173,([eesexn]
174,(es6xn7
175,[eesexr
176,(essex)
177,(e6s6-1H]
178,(rese-rm]
179,(ess6-xH
180,(esext
181,(lesexr
182,(lés6-xH)
183,(eeserm)
184,(aon)
185,eas)
186,(resem
187,(esexn)
188,ac)
189,(ees6xH)
190,(cesexn)
191,AL656-xH)
192,‘(Ces6aH
193,‘(eeserH)
194,‘(ease
195,([esoxn)
196,[eso]
197,‘ALGS6xH]
198,(ese)
199,(eesern
200,Tresem
201,"Tresean,"
202,Tosser
203,Tresor
204,[eesern
205,(essex)
206,(sen
207,[eesom
208,(L6S6xH)
209,(ease
210,ALesorn
211,Asser)
212,fessor
213,(lesen)
214,=
215,Peel)
216,=
217,=a
218,Ea
219,Peed
220,on
221,P H-644-L1}]
222,F H-644-L1]
223,P H-644-L1]
224,P H-644-L1)
225,L H-644-L1]
226,P H-644-L1
227,P H-644-L1
228,P H-644-L1
229,[4-64-11]
230,L H-644-L1]
231,[644-1]
232,E H-644-L5]
233,E H-644-LX]
234,[ H-644-L)]
235,p H-644-L3]
236,F H-644-L1
237,p H:644-L1)
238,PH 644-LX
239,b H644°LX
